문장,혐오 여부,문자 개수,y_pred
어.. 전 무섭던데. 말 못하는 아이가 손가락질하는 유령...,1,34.0,0
내가끓인 라면 먹을라고 휴가를 안갔잔수,1,21.0,0
진짜 저런거 있었으면 좋겠다 개부럽네,1,20.0,0
"한혜진빨리정신돌아오길바라노 혐혼하면 을마나땅을치고후회할꼬
왜스스로 저지옥굴에 들어가서 저런남리남리한 미소짓고잇노
",1,65.0,0
일본꺼라고 무조건 욕하기는;,1,15.0,0
베일이다 그냥 보는거다,1,12.0,0
나도 바니에 한표!,1,10.0,0
밀레니엄의 누미 라파스가 살렸다,1,17.0,0
ㅑㅑㅑ,1,3.0,0
앱놈비상금ㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 력시 보지기 통도크고 개그센스도 터진다 이기 ㅋㅋ,1,48.0,0
내가 아직 그때 그 사진을 버리지 못하는 이유.,1,26.0,0
대단함,1,3.0,0
대박인데 야 기분 좋다.,1,13.0,0
노잼노잼노잼노잼노잼,1,10.0,0
난 독보여야지,1,7.0,0
어디로 갈껀데? 가면서 생각하지 뭐..,1,21.0,0
대박 이잖아?,1,7.0,0
내가 다 억울하네.. ㅠ,1,13.0,0
재밌긴한데 공수임 점점 별로에요... 남좋아하는 선배 붙잡고있고 판사한테 아부하고 자기마음은 절대포기못한다더니 태경선배가 자기좋아하는건 포기하라하고 그래놓고 만날 태경선배불러서 하소연하고 오늘은 현우마음때문에 다들 다친다하는데 지마음이 문제아님??,1,138.0,0
꿋꿋이 살아가는 사람은 송어랑 다르네,1,20.0,0
펄럭,1,2.0,0
우리의 세계도 뭔가 비밀이 있지 않을까?,1,22.0,0
입장권 6969개 끊고싶노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,26.0,0
조지가 귀엽네ㅋㅋ,1,9.0,0
"첨언 하나 한다. 근데 좆새끼들이 ""냄져는 정자주잖아!"" 이러잖아? 그럼 ""니 정자가치 정자은행에 가서 환산해오셈"" 이라고 받아쳐라 ㅋㅋㅋㅋㅋㅋㅋ 몇백원도 안될 한남충 정충가치 ㅋㅋㅋㅋㅋ 몇백원 아니 몇십원 가치도 안되는 정충을 번식시켜 줬으면 황송한줄 알아야지. 인공자궁값은 한남충들 정충값보다 훨 넘사벽임. ",1,174.0,0
깔끔하다. 문제없다. 엑싯뮤직 una mattina는 절정이다,1,34.0,0
일본에서 상영금지 파문및 삭제 요구한 문제작.,1,25.0,0
조권짱짱맨 ㅋㅋㅋㅋㅋㅋㅋㅋ,1,14.0,0
묶을 수 (풀 수) 없는 관계.,1,17.0,0
http://movie.naver.com/movie/bi/mi/point.nhn?code=79554#reviewTab,1,65.0,0
곽동연 연기 늘었는듯 ㅋ 넝쿨당 에서는 학생 그것도 전교 꼴등 이번에는 액션 쏴라있네~,1,48.0,0
모든사람 위치 알 수 있는 지도 나도 가지고 싶어ㅠ,1,28.0,0
나는 인사이드맨 같던데ㅋㅋㅋ,1,15.0,0
박신혜라 쓰고 팔방미인이라 읽는다.,1,19.0,0
참 교사노 ㅋㅋㅋ,1,9.0,0
재밋네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,21.0,0
카오루 히카루 ! 내 덕심이 다시 발동하고잇엄!,1,26.0,0
아 막 터트리고 싶어!,1,12.0,0
우리가 사는 세계도 의심하리만치...,1,20.0,0
진짜무섭네 이거 동심파괴 수준임 처음엔 인형 내장을 뽑아내질않나,1,35.0,0
믕지가 잇어서 내가잇는거임 ㅎㅎㅎ,1,18.0,0
퍼팩트 정도까진 아니고 적당한 결말,1,19.0,0
여기도 알바푼거니? 경규야?,1,15.0,0
이거 전에 올라왓던 글이노,1,14.0,0
ㅋㅋㅋㅋㅋㅋ재기,1,8.0,0
하아. 남자다. 남자.,1,12.0,0
2시간만에 책 10권을 읽었다.,1,17.0,0
솔직히 물가에서 몸씻고 잘가라 할때 울컥 했는데 12시간 효력이라하니 갑자기 눈물나네요안타까운 625를 잊지맙시다,1,63.0,0
프렌치 커넥션에 대부를 섞어 놓은 듯,1,20.0,0
권력은 추한 거노,1,9.0,0
저리 바람 피는 년들은 다 죽어야 해 속이 시원해,1,27.0,0
각각의 영웅 마다 자신들이 그리는 이상은 달랐다.,1,27.0,0
바로 이거지. 이게 엑스맨임.,1,16.0,0
평론가들은 거의다 좌파임. 좌파들의 지상낙원 북한의 현실을 고발하니까 ㅂㄷㅂㄷ 한듯..,1,48.0,0
"저런 날이 오면 남에게 못된 짓, 피해 주는 짓 한 인간쓰레기들이 소각되는 날이겠군요.",1,48.0,0
888가야지 ~~~~,1,11.0,0
에잉 3등이네.ㅋㅋㅋㅋㅋ,1,13.0,0
와 졸라 촌시러워 ~~~~ㅋㅋㅋㅋ,1,18.0,0
동성애 미화는 글세~ 에이즈에 확산에 일조한 듯~,1,27.0,0
수트 입고 처들어갈때 개간지b,1,16.0,0
헉 피들궁씀ㄷㄷ,1,8.0,0
여시 바코드 화력지원도 있노 보돕보 오져버려,1,24.0,0
와 설마 좆팔 저걸 성체라고 욕하는거? 난 진짜 무슨 교회에서 십자가박혀서 앵흘리고 있는 예수 조각상 불태운줗알았네. 밀가루 태운걸로 천주교든 뭐든 온나라가 뒤흔들리냐? 병신좆국. ,1,101.0,0
근데 왜 갑자기 실시간 검색어에 오른건가요??,1,25.0,0
경찰서에서 자기 아들 죽었다고 뭐라따지면서 울던 부모 ㅋ 연기라지만 말하는거랑 지 애가 피해자라고 뭐하는거냐고 울때 죽여버리고싶었다,1,73.0,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 창놈들이 품평당하는 거에 왜 불만이노 그게 직업 아니노? ,1,48.0,0
남산도서관 ㅋㅋㅋ,1,9.0,0
뭐????코미디????,1,12.0,0
매우중요한사건이다 종종상영하였으좋겠다,1,20.0,0
둘다 이쁨,1,5.0,0
헉 신기하다. 애가 표정이나 눈코가 되게 엄마 닮음 ㅋㅋㅋ 근데 금발.. 땡긴다,1,44.0,0
총을 쏘았다는데 총알이 없어. 탄피도 없어. 다쳤는데 왜 다쳤는지를 모르겠네. 개법부를 엎어버려야지 원,1,57.0,0
오랜만에 제대로 된 영화 봤네. H처럼 자기 손 더럽혀 가면서라도 나라나 국민 위해 행동하는 사람이 진짜 영웅인듯.,1,64.0,0
쉬운 역사 공부,1,8.0,0
이제 진실이 하나하나 양파껍질 처럼 버겨지는구나..,1,28.0,0
짱 재밌네! 그래서 난 다이빙 할때 머리카락 펄럭이지 말라고 두건을 쓰지 ㅋㅋ,1,43.0,0
니키 라우다가 고물차로 스포츠카를 앞지를 때 소름.,1,28.0,0
전부를 걸어야 하는 것도 있지 그게 아무것도 아닐지라도,1,30.0,0
지독한 그리움을 선물해주셔서 감사합니다 ㅠ,1,23.0,0
"
-> 멀쩡한 흑인 후보가 있는데 ""흑인 인권 챙겨주는 백인 후보"" 뽑는 꼴
멀쩡한 조선인 후보 있는데 ""조센인 인권 챙겨주는 친한파 일본인 후보"" 뽑는 꼴
성님 팩폭 지리셨노 깔깔깔",1,105.0,0
이때는 헐크가 지구통일할 줄 알았지..,1,21.0,0
여성부 뭐하냐? 개ㅔ봉 못하게해야지?,1,20.0,0
월베감이노,1,5.0,0
ㅇㄱㄹㅇ,1,4.0,0
취약한 사회안정망아래선 가장이 무너지면 가정이 무너진다. 희망찾기도 개인의몫?,1,43.0,0
감사합니다 그냥 감사합니다 정말,1,17.0,0
서양 기준의 사고방식에 진저리를 친다.,1,21.0,0
라스 폰 트리에가 보장한다.,1,15.0,0
봊간지노ㅋㅋㅋㅋㅋ 나도 힘주겠노,1,17.0,0
군대 가 있는 우리나라 청년들과 닮아 보인다.,1,25.0,0
영화는 좋은데 감사용은 패전처리투수가 아냐. 감사용이 전문 패전처리 투수면 절대 15패가 나올 수가 없어. 패는 이기고 있거나 무승부에서 등판해서 본인이 상대팀한테 얻어맞아서 져야 올라가는거야. 진짜 패전처리는 방어율이 높을뿐 패는 별로 없어.,1,136.0,0
사다코이쁘다 흐규흐규 ㅠㅠ,1,14.0,0
지휘자를 꿈꾸는 어린 아들이 지휘자가 어떤 일을하는 사람인지 좀 알게 됬다구...,1,45.0,0
빈형 머리깎을때 입벌리고봄,1,14.0,0
주유소의화장실에 피가기억난다,1,15.0,0
노비타의 신마계대모험,1,11.0,0
김대중 노무현은 민족의 반역자임,1,17.0,0
그저 근로기준법만 지켜라~! 단지 그것뿐~! 경제정의? 웃기는 소리 마라~!!,1,43.0,0
뭔가 안맞는,1,6.0,0
강리나 잖아 ㅋㅋ,1,9.0,0
ㅋㅋㅋ 와나 참여인원 나까지 2명 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,32.0,0
일단봐,1,3.0,0
한국은 황금박쥐가 지킨다ㅋㅋㅋ,1,16.0,0
비행기 터보팬엔진 매우웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,27.0,0
연애를 글로만 배운 애들은 이해할래야 할수가 없겠지...ㅉㅉㅉ,1,34.0,0
싸워라! 손오공!! 이겨라! 손오공!!,1,21.0,0
우리나라가 총기규제라도 하니 다행이다 안그러면 미국못지 않을듯,1,34.0,0
"언니가 보자고 해서 억지로 봤는데, 괜히 내 몸이 들썩거림ㅋㅋㅋ",1,35.0,0
게...게이물이다 엄청난 게이요소들이 포함되어잇다 으아아아 도망치자,1,37.0,0
저게 내 삶에 실제로 일어났음 좋겠다ㅠ,1,21.0,0
괜츈타. 내가 외국에 가면 나도 이방인이다.,1,24.0,0
배신할줄알았는데 동맹할줄이야,1,15.0,0
냉혹한 비즈니스세계에서 말보다 행동이 먼저라는 강한 정신으로 매섭게 일하는 영미는 과거 한국의 어머니 모습인것 같다.,1,65.0,0
그걸 이제 알다니 등신력 ㄱㅆㅅㅌㅊ노. 근데 저런 개돼지들 군무군무 많아서 정신 못차리고 얼굴패권!이러면서 아이도루 빨듯이 병신질 하고 있노. 대통령을 뽑는다면서 아기 취급하면서 우쭈쭈하는 개돼지들 군무 많다 ㅎㅍ ,1,120.0,0
국정원 어디갔노 서버비도 안내주고 조팔,1,21.0,0
우와 ㅋ,1,4.0,0
세상이 엿같으면 바꾸면 된다..,1,17.0,0
지하 세탁기에서 하는 항문 섹스 대박 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,31.0,0
"저 나이 때, 우린 뭐 하고 있었지??",1,21.0,0
어때??? 정문아!!,1,11.0,0
살다살다 개구리가 이뻐보인건 또 처음이네,1,22.0,0
경수처럼 현우처럼,1,9.0,0
아 ㅋㅋ 배용준 나옴 (아리가 보는 tv) 이게 바로 한륰,1,32.0,0
Watch my shoes,1,14.0,0
이건 절대 깔수가 없다....오빠들 사랑해여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 정말 오로지 팬심으로 별점준다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,87.0,0
한국어 제목이 안 어울려,1,13.0,0
"가자, 우리 안으로, 자유로",1,15.0,0
생각없이 웃고싶을때 보면 딱좋음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,33.0,0
댓글은 무의미하다 봐야안다,1,14.0,0
에러가났다 망할 네이버,1,12.0,0
"미래는 정해져 있지 않아, 스스로 만들어 가는 거야. 좋은 미래를 만들렴.",1,41.0,0
ㅋㅋㅋ,1,3.0,0
"와,,,, 그냥 씹오진다.... 개고라>ㅁ<",1,24.0,0
"애비 뒤지고 탈조센하게 해주세요..
애비만 뒤져도 되고 탈조센만 해도 됩니다 보-멘",1,47.0,0
버킷 리스트를 실현하려면 일단 돈이 있어야 한다.,1,27.0,0
소시민한테는 정부가 괴물이 아닐까?,1,19.0,0
참놔 진짜 패숀의 완성은 얼굴이라고 어떻게 머리는 개 그지 산발을 하고 옷은 완전 진짜 그지같은걸 입엇는데도 이쁘냐,1,64.0,0
ㅋㅋㅋ 리얼스틸 아빠와 아들이 성우함? ㅋㅋㅋ,1,25.0,0
그래도 그럴 수는 없는 것,1,14.0,0
바다야 고맙다 따뜻하게 품어줘서. 그리고 고맙다 희망을 주어서,1,34.0,0
중화권이지만 대만은 확실히 다른 문화의 나라다. 일본인듯 느낌이 들지만 그 일본과는 전혀 다른 중국인들의 또 다른 중국인들 대만. 서론이 길었다. 한마디로 대만의 영화감성이 이렇게 포근하고 따뜻한 줄 몰랐다. 지금 당장 타이완으로 가고싶다.,1,134.0,0
황 모씨는 어설픈 정신분석놀이 하지마라!,1,22.0,0
항상 미국코미디는 예상치 못한 반전에 감동이 온다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,140.0,0
315 하이 반갑노. 난 메갈 등장 이후로 씹치천국 찌질내 기안내 범벅 한국어학 문학 존나게 싫어서 성적이 재기따라 마포대교 갔다 이니야~ 병신 국문과 한남충들 돈도 없고 키작고 못생기고 개찌질이들 주제에 입만 살아서 나불나불 한남문학들은 또 어찌나 개빻이고 여성관 좆창인지 노무 괴로웠노,1,161.0,0
이름이 화장실ㅋㅋㅋㅋ,1,11.0,0
존나 똘끼영화,1,7.0,0
지대로 웃긴다,1,7.0,0
게임이 100배는 더 히트쳣어 ㅋㅋㅋ,1,20.0,0
이런것도 좀 보고살아라 금수들아,1,17.0,0
역시 차승원이 외모로만 승부하는 배우는 아니더라구요,1,28.0,0
한국판 제목이랑 광고는 대체 누가 만든거냐.ㅋㅋ,1,26.0,0
진짜 괴물은 강두를 변하게 만든 썩어빠진 정부,1,25.0,0
빨간거 보고 데어데블 3까지나왓나 했네 ㅅㅂ,1,24.0,0
흑 부럽다.ㅋㅋ,1,8.0,0
근데 네이버는 자꾸 인명표기 똑바로 안 할래? [조제 파질랴] 라고...,1,40.0,0
yup,1,3.0,0
명량같은거보다야 훨낫지 같은sf영화인데 차이가 틀리자나?,1,31.0,0
미생 성대리가 쥔공 ㅋㅋ,1,13.0,0
박효신 나오게해주세요.,1,12.0,0
zㅋㅋㅋㅋㅋㅋㅋㅋㅋ졸라웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,29.0,0
진짜 웃기더라 ㅋㅋㅋㅋㅋㅋㅋ,1,15.0,0
군사통제구역,1,6.0,0
대작의 냄새가 난다..킁킁킁,1,15.0,0
시원시원하다,1,6.0,0
누구도 그 고통속에 들어가보지 않고서는 함부로 말할 수 없다 고통의 크기는 사람마다 다 다른 법이니 누구에게는 고작 택배차 사기당한 것이지만 누구에게는 가족동반자살의 크기로 다가올 고통일 수 있다 사람마다 욕심의 크기가 다른것 처럼....,1,133.0,0
흠,1,1.0,0
멋지네이야호오오홋 리얼 땅따라,1,16.0,0
끔찍허다,1,4.0,0
먼가 묵직하니 .. 있어보인다,1,16.0,0
"올리지 말아야 되는글을 관리자가 다 어떠케 막겠노 어이...
서버가 국내면 없어 경찰 개입해서 글 올린 놈들 다 잡을수가 이깼노 ...어이
해외에 잇으이 방조죄로 작살내려하는기라...
범죄중 방조 도주에 가담한다고 울가삐면 빼박인기..죄값도 무겁노..
노력은 어이 글 쓴넘을 잡는데 적극 동참해야 되는기야 어이
참고해란기야...
알았노~~~
니가 고생 많노...",1,209.0,0
시원시원하네,1,6.0,0
바람피지말자는거임??,1,11.0,0
회사직원이랑봣는데마망합니다살짝,1,16.0,0
무사백동수 진리임,1,9.0,0
역시나 예상했던 데로 베충이들이 득실대는구만,1,24.0,0
뉴하트 짱,1,5.0,0
이제 곧 사라질꺼야. 우리 이제 어떡하지? / 그냥 이 순간을 즐기자.,1,39.0,0
21세기 마녀사냥 그 추악한 한국정치 언론 검찰 우리가 기억해야할 수치스러운 복습,1,45.0,0
배는 왜 가르고 그러는지 원...,1,18.0,0
와우.. 교관이 안 죽은거 까지의 반전은 못 맞췄네.. 대단하다 진심 ㅋㅋ,1,41.0,0
자유? 낭만? 기괴? 방탕? 무질서? 당신이 선택한 답은?,1,32.0,0
EYE IN THE SKY,1,14.0,0
장애는 부끄러운게 아니고 극복하는것도 아니고 수용하는것 입니다^^,1,36.0,0
국영이 형님은 전설 그 자체십니다,1,18.0,0
난 이런 자극적인 중세판타지물 좋아하는데. 망하긴 했나보네 후편 안나오는거 보면.,1,45.0,0
박영선 올인~,1,7.0,0
돼박ㅎ,1,3.0,0
여기가어디요?,1,7.0,0
클래식이라는 소재가 쉽지 않았을텐데. 박수보내고 싶다,1,29.0,0
아죽일라면 죽이지 여운을남기네ㅋㅋ,1,18.0,0
여호와가 곧 사탄이다.,1,12.0,0
곽객을 학대하는 수준이 최고난이도,1,18.0,0
자기생각없는거 ㄹㅇ ㅋㅋㅋㅋ 다수가 절대적 정의인지안다익이 개돼지수준 윾엒,1,41.0,0
Secrets & Lies,1,14.0,0
인도판 아이엠샘???,1,11.0,0
일장춘몽이 따로없네... 카우치씬은일품ㄷㄷ,1,23.0,0
도서관이나 한국영상자료원에 가시면 보실수있습니다!,1,27.0,0
진짜배잡고웃었다 ㅋㅋㅋㅋ꿀잼,1,15.0,0
어깨부상 당해는데도 야구를 포기하지않고 끝까지 노력함,1,29.0,0
여성부 장관 뺨치는 엄브릿지 연기,1,18.0,0
껄껄 깔끔하고 확실하게 요약 잘했노,1,19.0,0
내미래는뭘까,1,6.0,0
너커르. 지아 장커를 부탁해,1,15.0,0
아제아제 바라아제....,1,13.0,0
아 진짜 나도 주인공처럼 안잡히고 의심안당할 자신있으면 저렇게하고싶다. 나 괴롭혔던놈들이랑 나 알바비안준 사장 찾아가서 총으로 똑같이 쏴죽이고싶다,1,81.0,0
나도 저런 능력이 있었다면? 님들이 주면ㄳ,1,23.0,0
재밌는데 그 우리나라 대통령이 그러진 않겟다 박근혜 국민들 생각들좀 하자,1,40.0,0
ㅅㅈㅅ,1,3.0,0
나도 저런 회사나 차려볼까 ㅋㅋㅋㅋㅋ,1,20.0,0
난 책도 샀지롱~~,1,10.0,0
오와 이런거 첨본다...,1,13.0,0
트레버로 부터 받은 메세지..,1,16.0,0
옼케이 앟~ 드르륵 손으로싹 싹~ 킁~,1,21.0,0
존쿠삭 같은 남자와 결혼하고 싶음.ㅋㅋ,1,21.0,0
두사 라고싶은 거 다 해~~♡,1,16.0,0
"시걸형님은 왜 나오다말아, ㅋㅋ 종이쪼가리처럼 날라가데,,",1,32.0,0
부산국제 영화제,1,8.0,0
"누군가가 그분이 누구시냐고 묻거든, 아버지의 절친한 친구라고 말해드려라.",1,40.0,0
니코니코니!니코 센빠이 다이스킷,1,17.0,0
야끼소바 먹어보고싶다...,1,14.0,0
"고대수야 해진, 해보, 악화, 손신, 손립은 어따 갔다버림?",1,33.0,0
자위하지 말라고 포스트잇 붙여서 반공개처형ㄱ,1,24.0,0
잘봄,1,2.0,0
노력이 정의인것일까 결과가 정의일까,1,19.0,0
진짜 먹저 와 리얼하다,1,12.0,0
내용이 먹여살림,1,8.0,0
그래도 태양은 그녀의 머리 위에 비추이더라,1,23.0,0
차공찬 공 좀 찼네,1,10.0,0
답을 알려고 하지마라.,1,12.0,0
레알? 레알!신고,1,9.0,0
"개개인의 심사야 할말이 있지만, 프로 자체는 훌륭하지 타오디션 프로와 비교도 안되는 퀄리티가 있는데 이건 인정해야지,,",1,66.0,0
폭력과 살인이 일상이고 양심에 위배되는 행위가 아닌 세계,1,31.0,0
분노한자는 갈곳이없다,1,11.0,0
ㅇㅅ,1,2.0,0
철도파업으로 대입면접을 못봤다는 기사도 소설 ㅠ,1,26.0,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ좆나 찔리니까 도망갔겟지 븅신인가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그리고 씨팔 여자가 앵나 정직한거아니노?ㅋㅋㅋㅋ 냄져도 뒤졌겠다 만졌다고하면될텐데 ,1,90.0,0
자연을 훼손하지 말고 어우러져 살았으면 좋겠다,1,25.0,0
spider pig ~ spider pig ...,1,27.0,0
"환경을 위해서라도 소,돼지는 적게먹는 편이..안먹거나..",1,31.0,0
나 봤노ㅋㅋㅋㅋㅋㅋ,1,10.0,0
젠신병자들 후장 찢어서 문둥충들 넣고 쉐킷쉐킷 해야 정신차린다이기,1,36.0,0
팩폭 지렸따,1,6.0,0
돈과 자본주의는 기본적으로 선량할수가 없다.,1,24.0,0
박사님 살아나서 기뻤다,1,12.0,0
뻥임,1,2.0,0
돈이 하나도 안 아까움,1,12.0,0
맨날 호통치시는 용왕아빠가 딸을 위해 큰희생을 할때 눈물이 주륵 ㅠㅠ,1,38.0,0
Love Kong Hyojin & So Jisub,1,27.0,0
클라리넷 못 불던 여학생이 주지사가 되었네.,1,24.0,0
대일본제국 만세,1,8.0,0
대한민국 대표 형사캐릭터 등장.,1,17.0,0
부성애가 남다르노,1,9.0,0
아 김기덕 노ㅛㅏㅏㅊ뉴,1,12.0,0
노래가 이끄는 힘 50%...남자의 박력 50%...,1,29.0,0
MLC,1,3.0,0
모든 유대인이 같은 생각을 하는건 아니라서 다행이다,1,28.0,0
하는김에 스트레칭!.,1,11.0,0
미리미리 조심합시다. 의심받을 짓도 하면 안되겠구만,1,28.0,0
무휼,1,2.0,0
아...다행이다...다행이다 라는 생각이 저절로 나게 만드는구나~,1,36.0,0
넥서스6라니.. 곧 실물로 만져보게 될 것 같은 기분이 드는걸??,1,36.0,0
자기계발서에선 알려주지 않는 성공의 비결,1,22.0,0
미투,1,2.0,0
송승헌 개잘생겼다 진짜 미친;,1,16.0,0
승재 좆나 나대넼ㅋㅋㅋㅋㄲㅋㅋㄲㅋㅋㅋ,1,20.0,0
아래 정확한 리뷰http://blog.naver.com/yulexa?Redirect=Log&logNo=70152368837,1,68.0,0
아래분 코멘트에 동감 ㅠㅠ,1,14.0,0
이거시 박치기다!,1,9.0,0
꼴뚜기가 뛰면 망둥이도 뛴다더니 아바타3D성공하니까 이것도 성공할줄아나보지,1,41.0,0
평점 낮은 순으로 보니까 가관이네. '팩션' 이라는 장르는 한 번도 못 들어봤나 무식한 것들. 실화를 바탕으로 극을 엮은거지 실화만을 쓰는 게 아닌데 어디서 소문 주워 듣고 와서 부풀려 말하고 있네. 아마데우스 봤으면 아예 고소 하겠다고 달라 들겠어.,1,140.0,0
ㅋㅋ 긋 ㅋㅋ,1,7.0,0
보고십따,1,4.0,0
보지에게 나라는 없다이기,1,13.0,0
탐루즈바이크WHAT ELSE?,1,16.0,0
기무라타쿠야 왜 오렌지점퍼를 입고 다니지? 더워보인다.,1,30.0,0
남자기자뽀이들 탐낼만한 기사꺼리노 깔깔깔,1,22.0,0
이걸보고 언젠가 일본이 또 침략할때 죽음을 불사해야된다고 생각했다,1,36.0,0
마음 마음 마인드 컨트롤,1,13.0,0
쥐새끼가 사람 울리네...,1,14.0,0
ㅋㅋ재밌다 나도 그 배 타고 싶어,1,18.0,0
투표 꼭 합시다!,1,9.0,0
인터넷수능보고온사람 손ㅋㅋ,1,14.0,0
골때린다ㅋㅋㅋ,1,7.0,0
노무현 탄핵때문에 망한 영화 ㅋㅋㅋ,1,19.0,0
벨마와다프네,1,6.0,0
그닥...이거 감동적이라고 하는 사람 누규?= ㅇ=,1,28.0,0
인도네시아 디스카운트만 아니면 정말... 이건 뭐.. 아. 인도네시아란 나라가 다르게 보일정도.. 뭐라 말로..,1,62.0,0
멋지네,1,3.0,0
1994 중고딩은 저리가라 ㅉㅉ,1,17.0,0
사낭하십시오추기경님그립습니다,1,15.0,0
일제시대때 일본놈들이랑 다를게 뭐냐,1,19.0,0
자댕이 체취 개심하노 특히 흡연자지는 살남충동 누르기힘드노 ,1,33.0,0
살려야 한다살려야 한다살려야 한다살려야 한다,1,24.0,0
랩은 취미로만 하자...,1,13.0,0
나 지금 네덜란드 두세번째로 큰 도시에서 유학하는데 여기도 여자 학생들이 난 페미니스트는 아니지만~ 이런 말 함... 페미니스트가 나쁜거인줄알고 후발 ,1,84.0,0
무섭다. 중국에서만 일어났던 일이라 치부할 수 없다. 지금 세계 각국에서도 이런 일들이 일어나고 있을꺼다..,1,60.0,0
이미와칸나이! 붸에에~~,1,13.0,0
한국에선 무슨일을 하든 고달프다,1,17.0,0
왓 더 롹 이즈 쿠킨 ~,1,13.0,0
ㄴ 공지보면 신고많이 먹은(10개) 댓글 작성 계정이 차단된다고 하노. 아이피랑 상관없는 것 같다이기야. 만약에 IP 수집하면 계정 여러개 파서 워추/소추 돌리는 것 자체를 못할텐데 말이노,1,105.0,0
미국이나 우리나라나 정치판은 다 똑같군..,1,23.0,0
개는 사고 팔고 특히 먹는게 아닌거 같다. 개는 몸바쳐 주인을 섬기는데 인간은 가게에서 그걸 팔다니 진짜 보신탕집부터 없애야 한다,1,72.0,0
왕얼 흥하소서 앞으로 더 기대됨,1,17.0,0
역시 봉준호,1,6.0,0
삼국여한 구할수 있는곳 아시분좀 쪽지로좀 부탁드립니다,1,29.0,0
日本映?の低力。幸せだよ。,1,13.0,0
겁나재밋음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,28.0,0
개빡침 흑형죽은거..,1,11.0,0
생각의 차이,1,6.0,0
팡민이 칭찬으로 후장 센조이 함 해줘야되지않겠노 ㅋ,1,28.0,0
나우 히얼 보이,1,8.0,0
네네네,1,3.0,0
결론 바람피는건 나쁜짓임. 소론 다이안레인의 성숙섹시미 끝장.,1,34.0,0
만원만~~~,1,6.0,0
존나 개쩌네,1,6.0,0
사랑도 역시 때가 중요해..버스 떠나면 한참후에 오거나 다시는 안온다,1,38.0,0
재일동포 야구단.. 우리 야구 역사입니다,1,22.0,0
이거 보고 대야로 태극권 연습 안해본 사람 있냐?,1,27.0,0
그래도 괜히 어설프게 흉내내서 큰코다치는 것보단 낫잖아요? 너무들 하시다 ㅎ,1,42.0,0
"6465tfvbvyt87thbn,",1,18.0,0
훌륭한 축구선수가 되려무나. 항상 응원할께,1,23.0,0
와 아저씨 조인성도보고 능력있으신분이셨네.. 아무튼 전 서울고,1,34.0,0
원피스 작가 독도는 한국땅이라고 뉴스에실리라해하 실려서 일본원피르팬이많이줄었다하내요 작가님 대단,1,53.0,0
개돼지 썩창 마인드를 버려라,1,15.0,0
아빤 이제 널 믿어~!!,1,13.0,0
대한민국 현실이 참...,1,13.0,0
오홋,1,2.0,0
캐나다 사람들은 불륜앞에 쏘쿨한것 같다.,1,22.0,0
근데요 저거 브레들리제임스 누르면 나이드신분사진으로 나오는거아세요??ㅠㅠ,1,40.0,0
웬만하면 안우는데 이건 진짜 와....,1,21.0,0
건강한게 행복한거구나 . 라고생각했음,1,20.0,0
