문장,혐오 여부
가끔 히틀러 빠는 애들 있는데 독일도 히틀러 싫어한다 시발놈들아,0
올리비아 핫세만으로 충분히 10점ㅋㅋ최고의 고전 영화,1
무난한 스토리와 연출에 비주얼도 기괴하고 괜찮았지만 긴장감이 떨어지는 점은 살짝 아쉽다. 좀 더 진지하고 어둡게 만들었더라면....,1
문코미,0
늦게본게 후회된다ㅡ시간가는줄 모르고봤다평점이 이해가 안된다ㅡ악마는 프라다를 입는다보다 더 재밌게 봤당ㅡ,1
@익명_82787b ㄹㅇ,0
너무 풋풋하다.보고나서 입가에 웃음이 나는 영화,1
"아다시긋지?

고우시다",0
소림사라니 내가찾던 영화 같다 옜날에 봤었는데 이미지가 없어서 슬프다 ㅠㅠ 보고싶,1
다시 한번 종교를 생각하게 해주는 영화,1
'이미숙닮은... 헉~ 이미숙!' 저시대 저정도 외모라면... 정말 아름다우심. :),1
에땁들었노?,0
취미 친구 가족 성장에 대하여,1
@네다메쾅타빌레 추천수 확인,0
난 이런 현실적인 영화가 좋다.. 많이 울었다..,1
@익명56632f https://youtu.be/ynsN3Rlda8w,0
"노트10+ 갤럭시버즈 갤럭시워치 액티브2 쓴다

삼성 충성충성",0
여자 자신의 몸의 가치에대해 다시 생각해보게되서 좋았어요ㅎㅎ,1
레알 성유리 연기너무잘해 ㅠㅜㅠㅜ 완전반함,1
후세인 죽었는데..,1
코믹 감동 최고 큰소리내고 웃긴처음,1
@skyfm 혹시 나이가 어떻게 되?,0
@익명_173db9 타잔 비하발언 불편하노,0
이민기의 연기력 다시봄,1
양양의 마지막 일기(?). 하나 그리고 둘 흘러가는 삶을 관찰한 너무나,1
최고,1
최고다 ....이 년도에,1
블랙앤화이트.....좋아했어,0
1편이 더 재밌지만 2편도 재밌었다...,1
@야씨발정액떨어짐 이쁘다,0
아이디만 빌려줬다지만 직접 한건지 어떻게 알아?,0
허허...영화 보기 전에 안들어와본게 천만다행이구만... 여튼 무려 40년 전 영화인데도 이렇게 재밌다니 신기할뿐.ㅎㅎ,1
"@넣는내운명1 왜 혼자 발작이지? 싶었는데 유령이 있었구나
요즘은 차단한애는 아예 댓글창이 안보이네. 전엔 차단된 유저의 댓글입니다 이런식 아니었나",0
하태경은 늘 피아식별이 안된다,0
@익명cfc51b 섬나라라서 습도가 높아서 그럼,0
일본에서해서 알게 됬는데.김주혁씨 낮은 목소리가 아주 감미롭네요.아름다운 드라마.,1
캬 초등학교때 봤었는데 다시봐야겠다,1
"시청률 10% 겨우 넘기는 프로그램 하나 쳐 만드는 pd한테 뒷돈으로 6억~7억
엠빙신 돌아도 단단히 돌았네 ㅅㅂ
그러니 하루 광고수익 1억남짓 나와 유명 유튜버 일일수익이랑 비슷하지 ㅅㅂ
그런데도 정신 못차리고 정리해고도 안함 ㅋㅋ",0
스티플러의 새로운면~역시나 최고의 시리즈~,1
살아가는데 한번쯤은 봐주는게 인생에 대한 의리인 영화,1
깔꺼면 증거가있고 비리나 범죄가 확정되면까야지 이러면 좌파방송이랑 다를게머냐,0
"(한정석 페북 펌) 판단은 각자 알아서 해라.

https://m.facebook.com/story.php?story_fbid=338437283315579&;id=100014479302862



배현진 아나운서에 대해서는 유감이 좀 있다. 방송에서 나도 물을 먹었으니 그 판을 모른다고는 하지말아 달라.



배 아나운서는 2008년 입사 후 4번 파업에 참여했다. 그 가운데 3번은 MBC 뉴스데스크 메인 앵커를 하기 전이었다.

그녀는 파업을 완주했고, 언제나 노조 파업의 꽃이었다.



2010년 파업에서도 배현진 아나는 파업의 얼굴이었다.

2012년 파업 때는 검은 상복을 입었다. 프리랜서 아나 투입에 반대한다는 의미였다. 당시 그녀는 뉴스데스크 메인 여성 앵커였다.



그런 배현진 아나운서는 2012년 100일 파업 중에 '시청자만 보고 가겠다'며 '일방적으로 끌려 가지 않겠다'는 말로 현업에 복귀했다.

노조를 탈퇴하고 뉴스 데스크 메인을 진행했다.



용기있는 결정이었다.

하지만 그런 용기는 시청자도 중요하지만, 조직에서 진정성을 가지고 소통되어야 더 가치가 있다.



방송사에서 메인 뉴스 앵커는 꽃이다.

누구나 원하는 자리다. 조직내 상징적 권력의 정점이다.



만일 배현진 아나가 정말로 시청자만 보고 갔다면, 그리고 자신의 결정에 진정성을 보여서 후배나 동료들이 MBC파업의 문제점을 깨닫게 하고 싶었다면, 배 아나운서는 파업이 끝난 후에 스스로 메인 앵커자리를 떠났어야 했다. 그게 정치력이다.



----- 이하 생략",0
'비장한 장면에 왜 이리 실소가 나올까' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
"@Stratham 50대 초반 전라도틀딱 아저씨. 좆노잼 이전에 곰팡내가 진동해서 병신같고요
안철수 핑계 대지 말아요. 니 머리가 짜낼 수 있는 최고의 개그가 그거잖아요.
그리고 너네 3랩짜리 틀딱들 모이는 단톡방 있잖아. 거기 연락해서 일베 좀 후원하라고 해
하여간 딱딱이새끼들 지 돈은 한푼도 안 쓰면서 남에게 이래라저래라 한다니까.",0
예상외로 너무 좋았다 아직도 마음 한구석이 찜찜하다..,1
"노무현 때는 군부는 못 건드렸는데 문재인때는 여론몰이 해서

눈엣가시들 싹 다 정리했잖아

군바리들 지금 몸사리는중 ㅋ

박찬주도 희생양이고",0
볼때마다 이보다더 현실적인사랑은 없다 생각이든다소장하고 두고두고 볼수밖에없는..다시보고 다시봐도 감동이다,1
이명박 병신새끼 한강 운하파는거나 열심히 밀어붙이지 왜 사대강으로 바꿔서 저지랄,0
아랫님들 '몽둥이 액션'이란 말이 딱 어울리네요 ㅎㅎ,1
진짜 대박인 드라마... 마지막에 시청자를 쥐었다 놨다 쥐었다 놨다ㅋㅋ 결국엔 새드앤딩이네요ㅠ 이수가 편안히 죽어서 그래도 다행이에요ㅎ,1
사요 닮앗노,0
오오 수지큐 오오 수지큐 -.-,1
캬 좃도모르는 계집년이 꼴같잖은 신념을 갖으니 저런 사단이 나는구나,0
폴워커 팬이예요!♡ㅋㅋ,1
뭐이리 슬프지 보는 내내 울었네요.,1
인터넷 받아서 다시 보는중. 최고임.,1
스파이더맨4가 보고싶다....,1
"전에 전쟁난다고 계속 말하던세끼들...

씨발 비상식량이랑 물이랑 존나사서 집에 꽉차있던거 생각하면

일게이세끼들 한번을 맞추는적이 없음",0
매우 유쾌한 산뜻한 코미디영화!:),1
씐나네요~^^ ㅋㅋ 캐릭터 귀욤귀욤,1
@컨벤션센타르 느그애비세요 혹시?,0
와 ㅅㅂ 나 고등학교 선배네,0
파일 이병 너무 불쌍하다 ㅠㅠ,1
완전 강추~~!1 짱 재미 있어요 한번 봐보시길 미우하 하루마짱♡,1
누나보고 쌌다는 소린줄 알았더니 아니노,0
잔잔하게 마음을 울리는 작지만 큰이야기,1
딱히...,0
보는 내내 하나의 그림을 보는 것 같았다.,1
경상도 개돼지들 좀 봐라,0
펜스성님 충성충성^^7,0
잘봤습니다.. 관객과의대화도 좋았어요,1
데프콘도 정치색 짙은데 ㅋㅋㅋ,0
"재난영화의 기념비 적인 교과서, 오리지널 그 자체",1
응기잇~!,0
괜찮았음.,1
인하공전?,0
@파타고니아 영상보고 퍼온거야 개등신같은새끼야 ㅋㅋ,0
"여자가 돈 때문에 존못한테 보지 벌리는건 봤어도 이런건 처음보네

하긴, 수십억 있는 놈이 장학금 몇백 받아먹겠다고 사기를 치는 미친놈인데 뭘 못하겠냐

돈이라면 지옥에라도 들어가는 놈인데 저런 여자랑 섹스 못하겠냐",0
정말 선과 악이 뭔지를 보여주는 영화. 언제봐도 소름돋는다. 오래된 영화인데도 탄탄한 스토리의 뒤쳐지지 않는 영화.,1
정말 감동적인 영화입니다.,1
어이 조선족 신사답게행동해,0
문죄앙이 부들부들한다,0
예전에도지금도최고의영화 이때 권상우 김하늘 진짜대박이었는데 물논 지금도그렇지만요ㅎㅎ,1
확실히 믿고 보는 콜렉터 시리즈.,1
띵똥~,1
@ZaBakKom 겉으로는 싫어하지 당연히 병신아속으로는 히틀러시절 그리워함,0
"옛날에 봤었고, 다시 봤는데도 훌륭하다. 공산정권의 잔혹성을 많은 사람들이 알아야 한다. 수백만을 학살한 크메르 루즈 정권. 이런 광기가 북한은 진행중.",1
잼네,1
난 드라마 진짜 안보는 사람중에 하난데 시간없어서 안보는것도아니고 걍 재미없어서..근데 이건 볼수밖에없다....ㄹㅇ진리,1
일본하고 독일을 엮지마라 적어도 일본은 나치스처럼 인종학살은 하지않았다.,1
스토리 진짜 뻔하고 식상함에 극치인데도 불구하고 너무 슬프다.... 기대안하고 봤는데 눈물 펑펑그 슬프다는 내머리속의 지우개 봐도 안울었는뎅...그나저나 영화속에 이연희 너무 예뻐서 여자인데도 넋놓고 봄순수한 첫사랑을 기억나게 해주는 영화!,1
"성룡표 코믹액션+ 마지막은 이소룡식 결투장면 ,,80년대 성룡영화가 진국이다~!",1
"ㅋㅋㅋ 김치새끼들 ㅋㅋㅋ 저런새끼가 법무부장관

아니 일단 서울대 교수는 어떻게 된거냐??

ㅅㅂ 진짜 존나 웃기네",0
나이에 상관없이 즐기고 감동받을 수 있는 대작..^^,1
@겨울철바세린 키워도 배척당함,0
"@익명ea6361 ㄹㅇ 술꼬장 부리면 그냥 면상에 주먹날리고 같이 징계먹음
어차피 징계는 높은놈이 손해",0
@익명9bdff4 씨티,0
분위기에 취해 버리게 만드는 영화..,1
@유담담당 인싸들은 챙기지 않아?,0
알파치노존멋영화도진짜끝내준다,1
"아무 도메인 싸게 사서 회원가입 하면 스타트업으로 나옴
고로 방구석 백수 새끼도 블라 가입 가능
ㅁㅈㅎ",0
충격이다..서교가 여자라니.. 진심.. 반전을 위해 10점,1
보석같은영화 너무 좋아요~,1
진정한명작..하ㅠㅠ,1
완전좋은 드라본방으론시청못햤었지만..1회때부터못봐사ㅏ...18회때부턴가 볼수있었는데 졸잼 ♥♥♥이런드라마 좋아요좋아오늘 감동적이였음 ㅎㅎㅎ~,1
"오 존나 신기한게 나 원레 거북목 좀 있었는데 공부할때 뒷목아프고
그래서 나 혼자 저런식으러 스트레칭 많이했는데 딱 저 자세네",0
가세연 잘한다 더 분발해라,0
책 안보고 영화만봤는데 감동적..잼있어요.특히 어린핫산.. 애늙이같은 표정 귀여워요,1
기대된디,1
조폭코미디 장르에서 이 정도면 수작,1
"미국이 빽역할을 하도록 움직이면 되는데 반대되는 일만하면서 요청을 하니 왜 받아주겠나?
애당초 우리는 정의 너는 악이라는 이분법적 구조가 국제사회 게다가 세계3대 경제대국에게 통할거라고 생각하는 것 자체가 어이없음을 떠나 안쓰럽기까지 하다.",0
"노무현때도 이정도는 아니었는데 그냥 북괴 국적의 조선로동당 입당자를 군 수뇌부로 교체한 듯
국방부장관부터가 정신나간 새키더만",0
@익명f3d578 ㄹㅇ,0
@횡단왕김민식 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
@쎆쓰쎆쓰봊이털 진압당했노?,0
이소룡감독 주연으로만으로도 10점,1
@숙디 너무 큰 근육은 오히려 싸울때 방해되는데 사실 약 빠는거 아니면 그렇게까지 될 가능성은 적고 일반인들끼리 싸우면 당연히 헬스충이 이기지,0
별다른 이유없이 그냥 10점 주고 싶은 영화~,1
고랩성님 속이다 시원하노,0
그냥 최고라고 밖에 할수 없는 사극,1
미국의 홍어,0
"@검은아재들 캬..팔하나 자르고 목숨을 취하기냐?

하여튼 전라도놈들 나쁜쪽으로 영특한건 알아줘야해",0
영화나온지 오래됐지만 요즘에도 생각나게 만드는 영화,1
우리네 어머니의 사랑의 숨소리.....,1
진짜 홍어는 걸러내자...,0
이 영화가 책이 있다면 진짜 보고싶다. 시나리오 쓴거 자체가 개쩌는거같다.,1
"스릴이 넘치지도, 배꼽 잡게 웃기지도 않지만 끝까지 보게 하는 힘이 있습니다. 할머니의 절제된 연기도 좋았습니다. 영화적 재미 이외에도 사람들이 이 영화를 많이 봐서 화제가 되어야 이 영화를 제작한 의미가 제대로 살 수 있을 텐데... 많이들 보셨으면",1
이런것도 모르고 현 정부 칭송하는 일부 사람들 진짜 반성해라,0
글 잘쓰네 이새끼 완전 개꿀잼 꿀잼ㅋㅋㅋ 부캐동원 4ㅇㅂ,0
서대문형무소 징역살면 독립운동가 인정받음,0
"좀 난잠한 감이 있지만 주제의식도,표현기법도 좋은 작품.영상미 또한 최고",1
@익명45d07a 같을까 X 벌레다 O,0
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
뚜렛증후근 아니냐 ㅋㅋㅋㅋㅋ",0
@러다이틀 30~40 임,0
"재네들은 왜이리 편파적이냐
공정은 무역으로
정의는 꺼져",0
주몽이 묻혀서 잘알지못하는 드라마 하지만 진짜 감동적이고 재밌음,1
@지지않음 소액은 의미없음,0
하정우..연기 너무웃겼고 웃음코드가 잘맞아서 정말웃었다ㅎㅎㅎ,1
흠잡을데가 없는영화인데 전문가분들 너무하시네...,1
"첫회부터무조건챙겨보는유일한드라마♡♡시작1초부터끝나는시간까지어느새내얼굴에미소가지어져있다^^^^너무웃고있어서팔자주름이생길지경이지만,정말행복하고기분좋은날이다오래오래해주세요~~~",1
완전웃김,1
재밌게 봤다고? 개인취향은 존중해준다. 그러나 따라하지는 말거라,1
재밌는데...굿.,1
@익명22d53f 레이싱 관심 없어도 단순하고 영상미도 좋고 배우 연기도 좋음,0
너무재밋었음^^지진희짱^^,1
"very good documentary, revealing that is not easily recognized if we don't try.",1
굳,1
이제야 알 것 같다 다시 보니까 알겠더라,1
꼬마애의 나레이션이 귀에들려온다..똥칠이는.....,1
"새끼 참 국가망신이네
근위병한테 꾸벅 고개는 왜 숙이는거냐",0
30년? 미친새끼들,0
막짤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
"@공업용미싱. 그런것을 어째서 언론사에서는 다루지 않고 경찰들은 어째서 아무것도 안하는거임?

직무유기임?",0
나름 아이들 용으로 좋아해 볼만함 하지만 아이들이 보기엔 다소 어려운 부분도 있음,1
마지막 총성~,1
"동화같은 아름다운 이야기!, 월트디즈니틱!",1
"주인공 사이먼베이커 닮음! 긴장감도 있고 조이는 맛도 있고, 반전도 괜찮고.",1
지우기에는 너무 아픈 기억. 다시 시작하기에도 너무 아픈 기억.하지만 다시 시작할 수 있다는 아련한 희망.,1
"생각한것보다 넘 재밌고 제 친구들도 재밌데요~!형돈,하하오빠팬이에요ㅊㅋㅊㅋ",1
열등 유전자 원숭이 추종자 친일파들 조지는건 칭찬해줘야지,0
하여간 더불어쪽 관련된 애들은 하나같이 저러냐,0
좌좀들은 하나같이 생긴게 야비하게 생겼어.,0
"처음에 여자 연기도 너무 어색했고, 남자들이 다 그렇지 않은데 다 그런 사람으로 묘사되니 좀 그랬구요.근데, 생각해보면 여기 댓글도 이런영화말고 야한거보려고 봤다는 사람도 많은데, 세상 남자들의 시선을 좀 노골화 시켜서 표현한게 아닌가 싶네요.잘봤음",1
최고의 낭만주의적 영화.,1
어려운 영화지만 장면하나하나에 심혈을 기울인 영화,1
"cnn 반 트럼프파임. 좌빨이기도 하고.
그래서 트럼프 깔라고 저러는거임.

그리고 트럼프가 협상하는척하면서 그 참전용사 시신운반하고 포로도 돌려받고 그러지 않았었나?",0
이재은 신 내렸나? 흠흠...울나라 정서를 잘나타내주는영화^^,1
개인 재미를 가지고 뭐라 그러네;;,1
평점이 낮은 듯 .나름 재미있게 봤음,1
"@장그레0000 궤변ㄴㄴ 욕은 지금 너가 하는거지
보통사람들은 성명 안냇다고 욕안함

간접민주주의 사회에서 투표 외에 집체정치활동 안했으니
니네가 호구븅신이라는 발생자체가 광화문 좌좀스럽고 파시즘적인 발상인거임",0
"신혼여행지, 나이들어 꼭 다시 가봐야지.",1
"난 어릴때부터 자차로 가는게 버킷리스트였는데ㅎ

매일 400키로씩정도 쉬면서 가면 꿀잼 아니겐노",0
약한자의 발악은 패배를 불러온다.,1
"모든 정혜씨들, 미안해요.",1
이야기를 풀어나가는 형식이 아~ 탄성을 자아내게 한다.,1
이슬람인줄..,0
비고 모텐슨은 크로넨버그 감독하고 일할 때 진정한 연기력이 나오는것 같아요 이스턴 프로미스 후속작 기다리던중 또한편의 수작을 봤네여,1
90년대식으로 싸대기 맞고 쪼인트까이고 해야 실력이 늘지 ㅉㅉㅉ 진짜 저런훈련은 발전이 없다,0
@x세틀딱 형 궁금하노,0
굿,1
"삼성과 일베가,,,이 나라의 중심을,,지키고 있다..!",0
진짜 명작이다...개추천,1
"한국영화는 보는게 아니야

이씨발 새끼들이 기득권 존나 까대지만
영화 만드는 구조는 염전노예 저리가라 할정도로
착취구조로 만들고 있다는거 알고 있냐?

소위 입뽕하기 전까지는 노예가 열정으로 포장되는곳이다.

한국영화판에 있는 새끼들은 남을깔
자격조차 없는 버러지 새끼들의 집합체임",0
좋았습니다..,1
너무 재미있는 가문의 영광~혜주이쁘당!!!,1
애니 원작으로 한 일본영화 중 올타임 넘버원이 아닐까싶다,1
설레발 ㅁㅈㅎ 지금 아무일도 안일어나고 해만 떳음,0
여배우가 너무이뻐서 비디오 구간반복재생했던기억나네,1
아이도 어른도 재밌어요,1
"이사람 제정신인가?
뭘 그토록 싫어해?
노무현이 아니고서야.",0
한지민이 예뻐요 ㅋ,1
아 좀 실망했지만 만화가 재밌어서 ㅋㅋㅋㅋ,1
아 진짜 이거 후속작 나왓으면 한다.반담 로드맨 둘다 연기 잘한다!,1
기무사를 해체할줄이야 ㅋㅋㅋㅋㅋ,0
회장이 흑인이노 ㅋㅋㅋ,0
@늙은븜미 이미 왔었다 ㅇㅇ 전쟁기념관 가면 그때 격침돼서 나포한거 볼 수 잇음,0
"518광주에서 이정이 노래 부릅니다 ""유공자 명단 까!""",0
반전 ㅋ 색다른 느낌이 ~~,1
이 영화 영화관에서 봤는데 정말 감동적이고 슬픔..전쟁영화 안좋아하는데 이건 최고,1
쭉~ 봤다~,1
중간에 전혀 이해하지 못한 성장면이 나오지만..먼가는 모르겠지만..마음에 뜨겁게와닿는먼가가있다..,1
이번선거 결과 말해줘?? 이글은 성지가 돨거다. 51대 49로 나오고 그렇게 당선된 좌우 국개들은 이원집정부제 들고와서 통과 시키도 이명박 박근혜 석방에 문재인 탄핵 안함으로 끝난다. 선거를 아직도 믿냐?? ㅋㅋㅋ 다 저들끼리 해쳐먹고 국민은 그냥 핫바지여.,0
마지막에ㅠㅠ 감동임ㅎㅎ,1
"상처를주고 또 보듬어주는 가족의 모습을 너무 잘 담아냈다. 우리나라와 정서가 비슷한 일본 감독의 영화라 그런가, 고레에다 히로카즈 감독의 영화는 항상 내게 가족에 대해 더 깊게 생각해 보게되는 계기가 되는 것 같다. 그의 영화 한편 한편에 감사하다.",1
@익명77c625 니가 뭐라고 한들 우리나라 남북한 합쳐서 이천오백만이던 시절에 삼백민이나 사상자를 낸 게 바로 그 공산주의 사상이야,0
빅하우스 형님... 힘내 코로나걸리지마ㅠㅠ,0
"@흰당나귀 죽도는 독도 옆이 아니라 울릉도 옆이다.... (책에 다르면)

그리고 독도는 섬이 아니라 암초로 봐야 하는데 일본놈들 성격상 그놈들이 그걸 이용해서 동해 유역을 가져갈 놈들이니 독도는 억지를 써서라도 우리가 먹는게 맞음.",0
완전 재밌었어요.특히 그란돈이 왠지 변한거 같았는데 입이 찰흙같이 됬어요 ㅋㅋ어쨌든 강추드립니다. 꼭 보세요!(일본판이랑 또 다른 재미),1
@일베엔터테인먼트 현장 다녀옴. 밑에 링크함,0
반대는 거시기들이냐?,0
개인적으로 할리웃스타일의 신나고 전개빠른 영화를좋아해서 첨엔 너무지루했으나 화면처리가 오묘하고 예뻤음,1
제가 원래 7점줄려고 했지만 9점주는 이유? 간호사 누님이요. (헤헤헤~),1
동정에 데이트 한번 안해봤는데 재밌게 잘봤네요,1
뱀파이어들의 마을습격장면은 정말 압권이고 긴장감 또한최고인 영화 이보다 잘만드는 뱀파이어 영화가 나올까~,1
오랜만에 온가족이랑 다시 봤는데 또다시 감동의 쓰나미... 아!! 참 명작입니다 ㅠㅜ,1
전화도 전라도 위주로 전화했겠지,0
예전에 티비에서 너무 재밌게본영화인데 오늘 다운받아서 또봐야겠어요,1
황교안 분노폭발할만하네,0
"난 이런 장르개척영화가 좋다. 특히 장비없이 맨손으로 땀내나는 액션을 고공에서 현란하게 보여준다는게 참 놀랍더라. 이영화이후 프랑스액션영화에서 야마카시급의 액션신은 필수로 자리잡게됬지, 13구역도 이영화가 없었더라면? 상상조차 하기싫다.",1
재미있던데요,1
좌익들 다 월북시켜야,0
오잉ㅋㅋㅋ이거 영화도 있음??ㅋㅋㅋ,1
씨발새끼들 진짜 낳아주고 키워준 미국의 은혜도 모르고,0
감한동맹 좆까고 불한동맹 합시다,0
No pain....,1
황교안이 얼렁 대통ㄹ렁돼서 간첩들 다 잡아들여라,0
재밌습니다 보는내내시간가는줄..,1
내가끓인 라면 먹을라고 휴가를 안갔잔수,1
저중 2명은 전부 좃라도새끼들이었음,0
7000원주고 샀냐???,0
"배우로서의 이름값을 버리고, 섣불리 영화를 얕보지 않은 감독 유지태.",1
연기가 좋았습니다.,1
"가족되기라 이름붙여야 할까요? 내가 진정한 내가 되기 위해 노력이 필요하듯 가족이 진정한 가족으로 거듭나기 위해 노력이 필요하다는 것, 따듯한 감성의 멋진 영화~~",1
저거 응하면 재드래곤처럼 끌려가는거아니나,0
꿀잼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
최고였음,1
"@오타밍 윤석열은 자기가 검찰총장의 위치에 걸맞은 사람이라고 스스로 판단한거임
그러니까 누가 임명했는지는 상관이 없고 법대로 할뿐이고
재앙이는 자기가 올려줬으니 자신에게 충성할거라고 지레짐작한거
사건 초기에 재앙이가 윤석렬한테 어떤식으로 수사종결 압박했는지만 봐도 뻔히보임",0
이 영화가 7.1이라니 충격적이다.,1
단군때까지 거슬러올라가자 ㅋㅋ,0
"고렙새끼들 세상에이런일이 존나게퍼와선 인기글 처가고있네.



닥ㅁㅈㅎ",0
어!? 재미있네! ㄷㄷㄷ,1
미스캐스팅 빼곤 다좋음,1
말이필요없는 명작입니다,1
미국이 도와줌,0
메시지가 정말 특별한 영화! 강추합니당~,1
"중간에 약간 지루한 부분도 있었지만, 그럼에도 처음부터 끝까지 긴장감이 듭니다.과거와 현재가 교차편집되면서 관객들이 집중하고 생각할 수 있게 하는 것과 이국적인 설산의 모습, 꽤 괜찮은 음악, 각 캐릭터의 심리묘사, 오프닝과 엔딩도 좋았습니다.",1
@잘모슴다아 각하 하면 박정희 생각나지않노,0
죠샌생새끼들은 보는 족족 때려 죽여야 됨,0
정경대 앞이네 ㅋㅋ,0
1점 준 사람들 수준 알 것 같다...,1
예소편이왜업서요 ㅎㅎㅎ,1
"""참 좋은 여행사건""
문재인 맘이 듬뿍 담겼네.",0
일베가 한국 기레기 언론들보다 낫네.,0
"2014년 7월 22일 현재 한국에서 의료민영화가 개정될려고 한다.과연 1년뒤,, 그리고 1년뒤,,, 그리고 1년뒤,,,우리나라의 현실이 1년단위로 어떻게 바뀔지 걱정이 된다.",1
"장점도 있다 ㅋㅋㅋ
물가 존나쌈 타오바오에 왠만한 물건 다있음
장도 타오바오로 보는데(티엔마오) 존나 개편함
한국도있긴한데 물가가 넘사벽
야채 고기도 존나쌈 ㅋㅋ 닭가슴살 씨발 개헐값(찌아러푸가면 냉동닭가슴살 진짜 물보다쌈)
그리고 와꾸좀 괜찮으면 문란하게 살수있음
한창 헬스 존나열심히하고 관리할때라 한번에 3~4명 까지 만나봄 ㅋㅋㅋ
나중에걸려서 칼맞을뻔
어린애들만나는거 개꿀잼 ㅋㅋ 한류버프 씹꿀
요즘 물빠졌다해도 한국인이 중국남자보단 낫제~~
마사지 개쌈, 쌍나 라고해서 싸우나 있는데 풀코스 199위엔이면
마사지에 물까지 뽑아줌 뷔페먹고 수영하고 개꿀씨발
막하고 살수있음 사실상 치외법권이라 시비붙으면 개꿀잼
주먹부터나감
내가 줘패고다닌 택시기사만 한트럭 ㅋㅋㅋ
한국인이라고 돌아가? 뒤에서 머리끄댕이잡아서 끌어내려서 존나팸 ㅋㅋㅋㅋ
이새끼들 단체아니면 존나약해 싸움도못함

결론 망나니처럼 가성비좋게 살수있음, 단점은 글쓴이가 말한그대로",0
1빠다 ㅋㅋ,1
내인생 최고의 청춘영화. 아린다.,1
@오크주술사 네 다음 전라도 홍어개씹새끼,0
그녀들에게서 느껴지는 쓸쓸함,1
광주공장 미국으로 옮겨라,0
오래해주세요~♡♡ 꿀잼!! 이거 끝나면 우울할듯..ㅜㅜ,1
환경부는 게임에서도 좆패고싶은 집단임,0
올리비아 핫세는 진리.,1
펄럭~,0
중국인들을 더 멀리하고 싶어졌다.,0
"내가 본 레전드급 드라마 순위에 또 하나의 작품을 추가합니다. 말이 필요 없으며 특히 주, 조연 연기자들의 연기는 지금의 그들을 있게한 명 연기였다고 생각합니다. 보는 내내 웃고 울고 행복했습니다. 개인적으로 욕쟁이 할머니~ 너무 매력 있으셨어요~",1
17년전에 만들어진 영화라고는 믿겨지지않을정도임,1
@timos ㄹㅇ,0
"누가봐도 의심스렆다고 하면 공공의 질서 유지 차원에서
속시원하게 부검해서 확인시켜주면 되는데.
방귀 뀐 놈이 성 낸다고..
딱 그 짝이네",0
그 안보강사 쏴죽였냐?,0
ㅎ,1
구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지 구지,0
@익명_2d412f 삼합 중자에 4만원이면 ㅁㅌㅊ?,0
"@하기사토끼 적어도 국정원, 국방부는 인터넷 상에 활개치는 북한의 사이버전력을 무력화시키기 위함이었다는 명목이라도 있었지 드루킹 저거는 뭐 답이 안나오는 케이스고.",0
화교 텐프로 라고? 별게 다있구나,0
이런놈에게 놀아나는 정신나간 대한민국..,0
우병우 ㅇㅂ,0
이것이 바로 전설의 시작,1
좌음 개새끼들은 여전히 베댓에 문재앙 씹새끼 언급을 안하더라 뭐 저딴 집단이 있나 생각이 든다,0
ㅇㅈ합니다 ㅇㅂ,0
이걸 본지 9년이 됐는데 아직도 기억나요 정말 너무너무 재밌게 봤던 영화,1
@익명_a13f9f 편도리 백수 틀니뿐인데,0
재미로 보는 영화가 아님. 오히려 다큐라고 생각하고 보면 10점,1
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ야 이건 웃겼다

웬일로 윤서인이 맞는 말 하네",0
@이제와서뭐 아냐 뉴스보면 돌봄감옥이라는 말 하지도 않는다,0
태국 공포영화는 이제 한 트렌드가 되어가는 듯하다,1
끝났어 병신들아,0
"@암베도믿지마라 미친 뇬아! 반박 못 하면 인정 아님?

인정 안할거면 반박하는게 정상 아님?

인정 안하는 것을 반박 못 하면 병신 아님?

인정 하기 싫으면 문구 하나하나 조목조목 반박하면 되는거다.

그러면 난 거기에 또 반박하는거고...",0
그저 엔젤 엔젤.....,0
저게 인면수심이지.. 유치하기 짝이 없는 수준,0
아……한국영화맞죠?? 아….,1
씨발련아 끝까지 살아야 니 딸을 보든 말든하지,0
한 번 봐야할 영화임,1
이게 당연한건데 개시발년,0
망조지,0
영화보고나니 제 처지와 비슷한거 같아서...ㅠ.ㅠ...눈물이...,1
고맙다 덕분.. zzZ,0
인도영화에 항상 다양한 주제가 감동적이고 영화역시 재밌습니다 정말 추천합니다,1
록키는 록킨대 뭔가 아쉽다 지지않는 체력,1
